PartID,Subject,trialNum,cond,soundfile,leftprompt,rightprompt,response,correct,keyResp,keyRT,Time
5220,2,45,2-n,cub-tub-2-n.wav,stim29_1,stim29_2,cub,0,z,5.398894464,332.3006529
5220,2,46,1-n,pole-goal-1-n.wav,stim28_2,stim28_1,goal,1,m,6.168905119,338.7183613
5220,2,47,1-c,chin-bin-1-c.wav,stim18_1,stim18_2,bin,1,z,5.577423415,344.5443813
5220,2,48,2-i,bats-cats-2-i.wav,stim9_1,stim9_2,cats,0,m,4.851958806,349.6455155
5220,2,49,1-i,trash-crash-1-i.wav,stim44_1,stim44_2,crash,0,z,5.626616785,355.5204749
5220,2,50,2-i,cape-tape-2-i.wav,stim62_1,stim62_2,cape,0,m,3.991014767,359.7604731
5220,2,51,1-i,pie-tie-1-i.wav,stim7_1,stim7_2,tie,0,z,4.764210052,364.7735572
5220,2,52,2-i,rake-cake-2-i.wav,stim46_2,stim46_1,cake,0,z,4.533213013,369.5555963
5220,2,53,1-i,book-cook-1-i.wav,stim25_1,stim25_2,book,0,z,4.0602263,373.86463
5220,2,54,1-c,cart-tart-1-c.wav,stim6_1,stim6_2,cart,1,z,3.967864051,378.0806808
5220,2,55,1-n,pear-bear-1-n.wav,stim16_1,stim16_2,pear,1,z,3.527903523,381.857962
5220,2,56,1-c,brown-crown-1-c.wav,stim24_2,stim24_1,brown,1,m,6.191343874,388.2976956
5220,2,57,2-c,king-ring-2-c.wav,stim45_1,stim45_2,king,1,m,5.113646964,393.6597118
